"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"81","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","270","80","50","0","1590","24","27","6","1210","930","485"
"73","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","270","80","50","0","2000","31","23","23","1770","1255","1250"
"78","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","280","80","50","0","1990","9","20","15","650","1225","1075"
"79","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","280","100","50","0","2000","28","22","19","1895","1400","755"
"74","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","270","80","50","0","2000","28","11","26","1710","895","1345"
"84","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","270","100","50","0","1746","38","9","33","1605","360","1210"
"76","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","270","100","50","0","2000","38","24","27","2030","1250","1125"
"82","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","270","80","50","0","1863","29","27","9","1215","1865","810"
"83","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","270","100","50","0","2000","19","15","15","1710","800","760"
"80","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","24","280","100","50","0","2000","27","23","37","2200","1045","1850"
"85","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","280","80","50","0","2000","21","17","12","1055","1170","710"
"88","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","280","100","50","0","2000","20","11","19","1415","365","1365"
"87","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","280","100","50","0","2000","20","27","15","1950","1750","805"
"86","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","36","280","80","50","0","2000","19","14","14","1300","970","1010"
"90","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","270","80","50","0","1364","21","9","24","810","545","750"
"89","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","270","80","50","0","1707","11","9","25","690","950","970"
"97","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","270","80","50","0","1240","9","41","11","615","1505","440"
"91","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","270","100","50","0","2000","29","31","20","1980","1785","1110"
"96","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","280","100","50","0","2000","17","26","21","655","955","1240"
