"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline"
"08/18/2022 08:57:31:793 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"118","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","2","835","48","2405","2003","1","3","5"
"119","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","2","810","48","2390","2008","1","3","5"
"120","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","2","800","48","2385","2005","1","3","5"
"124","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","10","671","48","2205","2001","1","3","5"
"122","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","6","642","48","2180","2002","1","3","5"
"127","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","2","448","48","1890","2001","1","3","5"
"109","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","2","2000","35","1885","10","1","3","5"
"121","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","6","832","48","2470","2005","1","3","5"
"125","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","10","719","48","2235","2005","1","3","5"
"123","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","6","829","48","2425","2003","1","3","5"
"128","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","2","576","48","2140","2005","1","3","5"
"112","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","6","2000","19","1740","13","1","3","5"
"110","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","2","2000","22","1760","10","1","3","5"
"130","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","6","433","48","1885","2003","1","3","5"
"113","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","6","2000","13","1560","10","1","3","5"
"126","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","5","10","771","48","2390","2003","1","3","5"
"129","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","2","435","48","1940","2015","1","3","5"
"131","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","6","526","48","2045","2004","1","3","5"
"117","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","10","2000","29","1735","120","1","3","5"
"116","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","10","2000","46","2105","10","1","3","5"
"135","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","10","422","48","1890","2001","1","3","5"
"132","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","6","457","48","1915","2005","1","3","5"
"114","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","6","2000","46","2205","82","1","3","5"
"133","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","10","539","48","2090","2002","1","3","5"
"134","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","10","10","400","48","1895","2002","1","3","5"
"111","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","2","2000","27","1655","44","1","3","5"
"115","25","7","100","120","false","25","false","5","2","500","40","false","300","120","35","50","15","1","10","2000","46","2075","10","1","3","5"
"145","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","2","497","40","1885","2003","1","3","5"
"148","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","6","540","40","1885","2007","1","3","5"
"149","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","6","420","40","1820","2002","1","3","5"
"146","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","2","552","48","1950","2004","1","3","5"
"147","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","2","614","48","1955","2001","1","3","5"
"150","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","6","565","48","1965","2003","1","3","5"
"151","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","10","535","40","1900","2004","1","3","5"
"152","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","10","618","48","1985","2002","1","3","5"
"153","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","5","10","617","48","1980","2007","1","3","5"
"156","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","10","2","456","40","1885","2009","1","3","5"
"154","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","10","2","515","40","1930","2008","1","3","5"
"155","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","10","2","443","40","1885","2005","1","3","5"
"159","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","10","6","477","40","1950","2004","1","3","5"
"158","25","7","100","120","false","25","false","5","2","500","40","false","300","180","35","50","15","10","6","441","40","1865","2009","1","3","5"
