"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline 2"
"08/18/2022 10:52:15:202 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"151","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","2","10","440","47","1970","2017","1","3","5"
"143","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","10","915","48","2320","2003","1","3","5"
"155","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","2","235","43","1890","2003","1","3","5"
"157","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","5","228","42","1910","2011","1","3","5"
"144","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","1","10","711","48","2005","2004","1","3","5"
"159","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","5","201","45","1860","2016","1","3","5"
"161","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","10","212","43","1850","2007","1","3","5"
"162","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","10","227","43","1860","2009","1","3","5"
"158","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","5","230","44","1970","2015","1","3","5"
"160","25","1","100","100","false","25","false","5","2","500","40","false","270","200","35","50","15","10","10","265","44","1950","2001","1","3","5"
"112","25","1","100","100","false","25","false","5","2","500","40","false","270","80","35","50","15","1","5","1997","48","5880","2004","1","3","5"
"175","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","5","348","48","1945","2004","1","3","5"
"173","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","2","526","48","2400","2004","1","3","5"
"172","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","2","556","48","2490","2007","1","3","5"
"174","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","2","512","48","2420","2004","1","3","5"
"178","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","10","397","48","2095","2024","1","3","5"
"182","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","2","200","48","1785","2003","1","3","5"
"181","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","2","213","48","1865","2015","1","3","5"
"179","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","10","343","48","1925","2006","1","3","5"
"177","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","5","505","48","2510","2003","1","3","5"
"184","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","5","183","48","1795","2003","1","3","5"
"180","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","10","542","48","2490","2002","1","3","5"
"186","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","5","224","48","1895","2008","1","3","5"
"187","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","10","193","48","1800","2004","1","3","5"
"185","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","5","246","48","1815","2005","1","3","5"
"183","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","2","217","48","1835","2003","1","3","5"
"176","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","2","5","708","48","2900","2002","1","3","5"
