"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Baseline 3 - Plus Threats"
"08/19/2022 18:45:56:837 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"62","25","15","50","230","false","25","false","10","4","500","50","false","280","85","35","50","15","2","5","2000","28","1020","10","1","3","5"
"64","25","15","50","230","false","25","false","10","8","500","30","false","280","85","35","50","15","1","5","2000","17","770","10","1","3","5"
"60","25","15","50","230","false","25","false","10","4","500","40","false","280","85","35","50","15","3","5","2000","146","1940","10","1","3","5"
"71","25","15","50","230","false","25","false","10","8","500","50","false","280","85","35","50","15","2","5","1981","1","505","13","1","3","5"
"63","25","15","50","230","false","25","false","10","4","500","50","false","280","85","35","50","15","3","5","2000","162","2360","222","1","3","5"
"73","25","15","50","230","false","25","false","10","10","500","30","false","280","85","35","50","15","1","5","1946","0","555","6","1","3","5"
"66","25","15","50","230","false","25","false","10","8","500","30","false","280","85","35","50","15","3","5","2000","93","1335","10","1","3","5"
"70","25","15","50","230","false","25","false","10","8","500","50","false","280","85","35","50","15","1","5","2000","25","1180","10","1","3","5"
"69","25","15","50","230","false","25","false","10","8","500","40","false","280","85","35","50","15","3","5","2000","164","2245","10","1","3","5"
"68","25","15","50","230","false","25","false","10","8","500","40","false","280","85","35","50","15","2","5","2000","165","2260","10","1","3","5"
"74","25","15","50","230","false","25","false","10","10","500","30","false","280","85","35","50","15","2","5","2000","3","715","10","1","3","5"
"75","25","15","50","230","false","25","false","10","10","500","30","false","280","85","35","50","15","3","5","2000","23","870","10","1","3","5"
"72","25","15","50","230","false","25","false","10","8","500","50","false","280","85","35","50","15","3","5","2000","173","2890","570","1","3","5"
"76","25","15","50","230","false","25","false","10","10","500","40","false","280","85","35","50","15","1","5","2000","5","795","10","1","3","5"
"78","25","15","50","230","false","25","false","10","10","500","40","false","280","85","35","50","15","3","5","2000","12","910","10","1","3","5"
"82","25","15","150","230","false","25","false","4","4","500","30","false","280","85","35","50","15","1","5","2000","50","885","10","1","3","5"
"80","25","15","50","230","false","25","false","10","10","500","50","false","280","85","35","50","15","2","5","2000","0","470","18","1","3","5"
"77","25","15","50","230","false","25","false","10","10","500","40","false","280","85","35","50","15","2","5","2000","71","1425","10","1","3","5"
"79","25","15","50","230","false","25","false","10","10","500","50","false","280","85","35","50","15","1","5","2000","1","675","7","1","3","5"
"83","25","15","150","230","false","25","false","4","4","500","30","false","280","85","35","50","15","2","5","2000","70","1170","10","1","3","5"
"84","25","15","150","230","false","25","false","4","4","500","30","false","280","85","35","50","15","3","5","2000","145","1930","10","1","3","5"
"81","25","15","50","230","false","25","false","10","10","500","50","false","280","85","35","50","15","3","5","2000","71","1525","10","1","3","5"
"88","25","15","150","230","false","25","false","4","4","500","50","false","280","85","35","50","15","1","5","2000","29","1025","10","1","3","5"
"85","25","15","150","230","false","25","false","4","4","500","40","false","280","85","35","50","15","1","5","2000","33","1030","10","1","3","5"
"86","25","15","150","230","false","25","false","4","4","500","40","false","280","85","35","50","15","2","5","2000","64","1240","10","1","3","5"
"87","25","15","150","230","false","25","false","4","4","500","40","false","280","85","35","50","15","3","5","2000","174","2885","626","1","3","5"
"92","25","15","150","230","false","25","false","4","8","500","30","false","280","85","35","50","15","2","5","2000","87","1265","10","1","3","5"
"91","25","15","150","230","false","25","false","4","8","500","30","false","280","85","35","50","15","1","5","2000","49","925","10","1","3","5"
"89","25","15","150","230","false","25","false","4","4","500","50","false","280","85","35","50","15","2","5","2000","198","3190","831","1","3","5"
"90","25","15","150","230","false","25","false","4","4","500","50","false","280","85","35","50","15","3","5","2000","196","2845","408","1","3","5"
"93","25","15","150","230","false","25","false","4","8","500","30","false","280","85","35","50","15","3","5","2000","179","2895","739","1","3","5"
"94","25","15","150","230","false","25","false","4","8","500","40","false","280","85","35","50","15","1","5","2000","49","1045","10","1","3","5"
"98","25","15","150","230","false","25","false","4","8","500","50","false","280","85","35","50","15","2","5","1901","0","660","8","1","3","5"
"103","25","15","150","230","false","25","false","4","10","500","40","false","280","85","35","50","15","1","5","1886","0","495","8","1","3","5"
"97","25","15","150","230","false","25","false","4","8","500","50","false","280","85","35","50","15","1","5","2000","41","845","10","1","3","5"
"100","25","15","150","230","false","25","false","4","10","500","30","false","280","85","35","50","15","1","5","2000","8","535","10","1","3","5"
"95","25","15","150","230","false","25","false","4","8","500","40","false","280","85","35","50","15","2","5","2000","166","1965","10","1","3","5"
"101","25","15","150","230","false","25","false","4","10","500","30","false","280","85","35","50","15","2","5","2000","88","1230","10","1","3","5"
"96","25","15","150","230","false","25","false","4","8","500","40","false","280","85","35","50","15","3","5","2000","152","1935","10","1","3","5"
"99","25","15","150","230","false","25","false","4","8","500","50","false","280","85","35","50","15","3","5","2000","187","2210","20","1","3","5"
"104","25","15","150","230","false","25","false","4","10","500","40","false","280","85","35","50","15","2","5","2000","78","1455","10","1","3","5"
"102","25","15","150","230","false","25","false","4","10","500","30","false","280","85","35","50","15","3","5","2000","105","1345","10","1","3","5"
"106","25","15","150","230","false","25","false","4","10","500","50","false","280","85","35","50","15","1","5","2000","7","725","10","1","3","5"
"105","25","15","150","230","false","25","false","4","10","500","40","false","280","85","35","50","15","3","5","2000","178","3460","1050","1","3","5"
"108","25","15","150","230","false","25","false","4","10","500","50","false","280","85","35","50","15","3","5","2000","35","870","10","1","3","5"
"109","25","15","150","230","false","25","false","8","4","500","30","false","280","85","35","50","15","1","5","2000","28","860","10","1","3","5"
"110","25","15","150","230","false","25","false","8","4","500","30","false","280","85","35","50","15","2","5","2000","156","2730","826","1","3","5"
"107","25","15","150","230","false","25","false","4","10","500","50","false","280","85","35","50","15","2","5","2000","195","2550","98","1","3","5"
"111","25","15","150","230","false","25","false","8","4","500","30","false","280","85","35","50","15","3","5","2000","148","2445","469","1","3","5"
"118","25","15","150","230","false","25","false","8","8","500","30","false","280","85","35","50","15","1","5","2000","13","765","10","1","3","5"
"119","25","15","150","230","false","25","false","8","8","500","30","false","280","85","35","50","15","2","5","2000","65","1185","10","1","3","5"
"112","25","15","150","230","false","25","false","8","4","500","40","false","280","85","35","50","15","1","5","2000","84","1230","10","1","3","5"
"115","25","15","150","230","false","25","false","8","4","500","50","false","280","85","35","50","15","1","5","2000","18","785","13","1","3","5"
